,index,ICAO Empresa Aérea,Número Voo,Código Autorização (DI),Código Tipo Linha,ICAO Aeródromo Origem,ICAO Aeródromoo Destino
16508,1232518,TAM,3962,0,N,SBGR,SBAR
16509,1232531,AZU,5436,3,N,SBCF,SBCF
16510,1232624,TAM,3368,0,N,SBCF,SBFL
16511,1232765,TAM,3821,0,N,SBBR,SBSV
16512,1232774,TAM,3810,0,N,SBBR,SBFI
16513,1232809,TAM,3153,0,N,SBGL,SBFZ
16514,1232820,TAM,3572,0,N,SBSP,SBRP
16515,1232840,GLO,9332,7,N,SBBR,SBFZ
16516,1232905,TAM,4507,0,N,SBRF,SBFZ
16517,1232949,AZU,4133,4,N,SBGR,SBKP
16518,1232953,AZU,9595,7,N,SBCT,SBPA
16519,1232957,TAM,3288,0,N,SBCT,SBBR
16520,1232964,TAM,3315,0,N,SBRJ,SBGO
16521,1233004,ONE,6303,4,N,SBRF,SBGL
16522,1233025,AZU,9596,7,N,SBPA,SBCT
16523,1233065,GLO,1417,4,N,SBBR,SBGL
16524,1233070,GLO,1069,4,N,SBGL,SBKP
